"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"mdsp_auddig","1_272_1","revenue","mdsp_auddig",2018-02-04,2018-07-29,"26 weeks",0.7,3120.70688461538,1.5,6687.22903846154,3,0.0999999999999999,445.815269230769,2.5,11145.3817307692,803465.03,490923967.97,3844.33028708134,2348918.50703349,0.00163663842554352,115911.97,45775084.52,4458.15269230769,1760580.17384615,0.00253220657515894,4458.15269230769,1760580.17384615,0.00253220657515894,45775084.52,1124791.21843353,22621195.4962581,565.033561649499,588151082.90271,0.0497228901372428,252.299841675297,0.00396353796086393,1760580.17384615,0,6687.22903846154,0.5,1760580.17384615,-1.66533453693773e-15,0.00379830986273841,45775084.5199999,11145.3817307692,1.5,1760580.17384616,2.44249065417534e-15,0.00633051643789732,45775084.5200001,2718217.64475994,848.092312616762,29013685.4521757,754355821.756569,0.0936874306864764,406.4789211086,0.00246015217043156,1.41664195115743,7083014.45315747,1018.49675103184,43444540.6952032,1129558058.07528,0.163035777103739,635.511158276731,0.00157353649416892,5.29718150095608,0.28258851115871,0.92052363909722
"mdsp_audtr","1_272_1","revenue","mdsp_audtr",2018-02-04,2018-07-29,"26 weeks",0.7,91110.3528461539,1.5,195236.470384615,3,0.0999999999999999,13015.7646923077,2.5,325394.117307692,25624716.36,490923967.97,122606.298373206,2348918.50703349,0.0521969144549201,3384098.82,45775084.52,130157.646923077,1760580.17384615,0.0739288382639998,130157.646923077,1760580.17384615,0.0739288382639998,45775084.52,685152.233176961,22621195.4962581,13.353021163377,588151082.90271,0.0302880647174592,5.26401828378079,0.189968945032191,1760580.17384615,0,195236.470384615,0.5,1760580.17384615,-1.66533453693773e-15,0.110893257396,45775084.5199999,325394.117307692,1.5,1760580.17384616,2.44249065417534e-15,0.184822095659999,45775084.5200001,1898216.19689995,24.0000351995695,29013685.4521757,754355821.756569,0.0654248561434515,9.72265168060286,0.102852599563455,1.77050282401937,6207569.58658199,40.0475896829739,43444540.6952032,1129558058.07528,0.142884916890545,19.0770799359969,0.0524189238266535,8.06013187434026,0.28258851115871,0.92052363909722
"mdsp_dm","1_272_1","revenue","mdsp_dm",2018-02-04,2018-07-29,"26 weeks",0.8,372531.542461538,1.2,558797.313692308,3,0.4,186265.771230769,1.6,745063.084923077,158373363.44,490923967.97,757767.289186603,2348918.50703349,0.322602630494664,12107275.13,45775084.52,465664.428076923,1760580.17384615,0.264494872198654,465664.428076923,1760580.17384615,0.264494872198654,45775084.52,5725482.32353483,22621195.4962581,3.59351256676018,588151082.90271,0.253102552625122,12.2952967379957,0.08133191262556,1760580.17384615,0,372531.542461538,-0.2,1760580.17384615,-1.66533453693773e-15,0.211595897758924,45775084.5199999,186265.771230769,-0.6,1760580.17384616,2.44249065417534e-15,0.105797948879461,45775084.5200001,5358619.02261621,4.32992208283395,29013685.4521757,754355821.756569,0.184692807518335,14.384336389903,0.0695200649438331,-0.0640755276477947,4320773.72385676,7.35070219822228,43444540.6952032,1129558058.07528,0.09945492931253,23.196820839958,0.0431093556698699,-0.245343277701505,0.28258851115871,0.92052363909722
"mdsp_inst","1_272_1","revenue","mdsp_inst",2018-02-04,2018-07-29,"26 weeks",0.7,28683.3898076923,1.5,61464.4067307692,3,0.0999999999999999,4097.62711538461,2.5,102440.677884615,16610245.52,490923967.97,79474.8589473684,2348918.50703349,0.0338346599549506,1065383.05,45775084.52,40976.2711538462,1760580.17384615,0.0232743000077807,40976.2711538462,1760580.17384615,0.0232743000077807,45775084.52,223014.910717214,22621195.4962581,12.7740231011412,588151082.90271,0.00985867041174303,5.44253794787477,0.183737809378157,1760580.17384615,0,28683.3898076923,-0.3,1760580.17384615,-1.66533453693773e-15,0.0162920100054465,45775084.5199999,102440.677884615,1.5,1760580.17384616,2.44249065417534e-15,0.0581857500194517,45775084.5200001,96722.7573405568,7.87413216143614,29013685.4521757,754355821.756569,0.00333369428368513,3.37208251845525,0.296552647963698,-0.566294661511657,1881966.37644556,41.692614354426,43444540.6952032,1129558058.07528,0.0433188231784748,18.3712799964612,0.0544327885804706,7.43874685505633,0.28258851115871,0.92052363909722
"mdsp_nsp","1_272_1","revenue","mdsp_nsp",2018-02-04,2018-07-29,"26 weeks",0.7,7361.662,1.5,15774.99,3,0.0999999999999999,1051.666,2.5,26291.65,53203626.56,490923967.97,254562.806507177,2348918.50703349,0.108374473505541,273433.16,45775084.52,10516.66,1760580.17384615,0.00597340590120662,10516.66,1760580.17384615,0.00597340590120662,45775084.52,667258.923415608,22621195.4962581,41.739407219924,588151082.90271,0.0294970671875403,63.4477983899458,0.0157609881725772,1760580.17384615,0,15774.99,0.5,1760580.17384615,-1.66533453693773e-15,0.00896010885180995,45775084.5199999,26291.65,1.5,1760580.17384616,2.44249065417534e-15,0.0149335147530165,45775084.5200001,871036.149893906,36.2283185955603,29013685.4521757,754355821.756569,0.0300215617671069,55.2162727135742,0.0181106031040404,0.305394531758662,1215958.22925143,30.0213379652705,43444540.6952032,1129558058.07528,0.0279887463371362,46.2488367695232,0.0216221654391743,0.822318423299773,0.28258851115871,0.92052363909722
"mdsp_on","1_272_1","revenue","mdsp_on",2018-02-04,2018-07-29,"26 weeks",0.7,174954.265769231,1.5,374901.998076923,3,0.0999999999999999,24993.4665384615,2.5,624836.663461538,45115575.59,490923967.97,215863.998038278,2348918.50703349,0.091899313403979,6498301.3,45775084.52,249934.665384615,1760580.17384615,0.141961535803626,249934.665384615,1760580.17384615,0.141961535803626,45775084.52,3250102.32789627,22621195.4962581,25.8419750207104,588151082.90271,0.143675091284804,13.0038077066853,0.0769005527116413,1760580.17384615,0,374901.998076923,0.5,1760580.17384615,-1.66533453693773e-15,0.21294230370544,45775084.5199999,624836.663461538,1.5,1760580.17384616,2.44249065417534e-15,0.354903839509065,45775084.5200001,6872348.68165931,30.7162166917697,29013685.4521757,754355821.756569,0.2368657609178,18.3310537604796,0.0545522375890864,1.11450224895154,13920203.4842911,23.6566616594791,43444540.6952032,1129558058.07528,0.320413181070368,22.2781477117147,0.0448870351763654,3.28300468105611,0.28258851115871,0.92052363909722
"mdsp_sem","1_272_1","revenue","mdsp_sem",2018-02-04,2018-07-29,"26 weeks",0.7,404684.300461538,1.5,867180.643846154,3,0.0999999999999999,57812.0429230768,2.5,1445301.07307692,130861971.62,490923967.97,626133.835502392,2348918.50703349,0.26656260471682,15031131.16,45775084.52,578120.429230769,1760580.17384615,0.328369271572456,578120.429230769,1760580.17384615,0.328369271572456,45775084.52,6906017.19458924,22621195.4962581,10.3655878370628,588151082.90271,0.305289664983958,11.9456377000519,0.0837125673077846,1760580.17384615,0,415920.537769228,-0.2805641926153,1760580.17384615,-1.66533453693773e-15,0.236240612014056,45775084.5199999,57812.0429230768,-0.9,1760580.17384616,2.44249065417534e-15,0.0328369271572455,45775084.5200001,5165732.6836849,11.0973664280027,29013685.4521757,754355821.756569,0.17804469177829,12.4199990493162,0.080515304069613,-0.251995392115129,919421.751437385,12.4002762669697,43444540.6952032,1129558058.07528,0.0211631136323396,15.9036371134773,0.0628786983043374,-0.866866570769946,0.28258851115871,0.92052363909722
"mdsp_so","1_272_1","revenue","mdsp_so",2018-02-04,2018-07-29,"26 weeks",0.7,115739.971576923,1.5,248014.224807692,3,0.0999999999999999,16534.2816538461,2.5,413357.041346154,21320203.8,490923967.97,102010.544497608,2348918.50703349,0.0434287286647672,4298913.23,45775084.52,165342.816538462,1760580.17384615,0.0939138239738634,165342.816538462,1760580.17384615,0.0939138239738634,45775084.52,3501903.31473693,22621195.4962581,21.974581122864,588151082.90271,0.154806288434942,21.1796519985029,0.0472151289393557,1760580.17384615,0,248014.224807692,0.5,1760580.17384615,-1.66533453693773e-15,0.140870735960795,45775084.5199999,137871.109692312,-0.166149987167775,1760580.17384616,2.44249065417534e-15,0.0783100433257291,45775084.5200001,5162564.15186819,18.1284337732941,29013685.4521757,754355821.756569,0.17793548359714,20.8155969919515,0.0480408993499757,0.474216643886985,2883614.15873113,22.9916569883935,43444540.6952032,1129558058.07528,0.0663746034044163,20.915289397224,0.0478119131420063,-0.17655803157211,0.28258851115871,0.92052363909722
"mdsp_viddig","1_272_1","revenue","mdsp_viddig",2018-02-04,2018-07-29,"26 weeks",0.7,10502.5084230769,1.5,22505.3751923077,3,0.0999999999999999,1500.35834615384,2.5,37508.9586538462,3865647.98,490923967.97,18495.9233492823,2348918.50703349,0.00787422947790609,390093.17,45775084.52,15003.5834615385,1760580.17384615,0.00852195411740989,15003.5834615385,1760580.17384615,0.00852195411740989,45775084.52,262259.253316841,22621195.4962581,43.4855742197833,588151082.90271,0.0115935187139081,17.479774347851,0.0572089765062066,1760580.17384615,0,22505.3751923077,0.5,1760580.17384615,-1.66533453693773e-15,0.0127829311761149,45775084.5199999,37508.9586538462,1.5,1760580.17384616,2.44249065417534e-15,0.0213048852935247,45775084.5200001,713897.879567662,77.5046175669413,29013685.4521757,754355821.756569,0.0246055565999847,31.721216530159,0.0315246421602162,1.72210749683324,2393943.05161887,144.151918420568,43444540.6952032,1129558058.07528,0.0551034264216124,63.8232341695095,0.0156682752450946,8.12815476038398,0.28258851115871,0.92052363909722
"mdsp_vidtr","1_272_1","revenue","mdsp_vidtr",2018-02-04,2018-07-29,"26 weeks",0.8,80324.4163076923,1.5,150608.280576923,3,0.4,40162.2081538462,2.5,251013.800961538,35145152.07,490923967.97,168158.622344498,2348918.50703349,0.0715898069009083,2610543.53,45775084.52,100405.520384615,1760580.17384615,0.0570297915858441,100405.520384615,1760580.17384615,0.0570297915858441,45775084.52,275213.796440634,22621195.4962581,6.95440708578099,588151082.90271,0.012166191503281,2.74102255918195,0.364827351256257,1760580.17384615,0,80324.4163076923,-0.2,1760580.17384615,-1.66533453693773e-15,0.0456238332686754,45775084.5199999,251013.800961538,1.5,1760580.17384616,2.44249065417534e-15,0.14257447896461,45775084.5200001,156330.28388511,4.92322784478893,29013685.4521757,754355821.756569,0.00538815670773004,1.94623616418535,0.513812258965282,-0.431967852240897,2618075.87983146,23.5596676622517,43444540.6952032,1129558058.07528,0.060262482648839,10.430007711937,0.0958772061937706,8.51288021782077,0.28258851115871,0.92052363909722
