"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.0288335905590637,642040264.305895,0.0278831454814997,3071962.98710954,0.0272121171916178,642040264.305895,0.0278831454814997,3071962.98710954,0.0272121171916178,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.179088240192023,-906075.850430593,-3.93499382505905e-05,-4335.29115038561,-3.84029532058518e-05,-906075.850430593,-3.93499382505905e-05,-4335.29115038561,-3.84029532058518e-05,FALSE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.393983393833275,123187640.020629,0.00534991195907503,3079691.00051571,0.0272805736174762,123187640.020629,0.00534991195907503,3079691.00051571,0.0272805736174762,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","mrkdn_valadd_edw",6792855.98000718,494198265.278064,0.0214625201775317,2521419.72080645,0.0223352850342772,494198265.278064,0.0214625201775317,2521419.72080645,0.0223352850342772,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"6","mrkdn_pdm",159297733.42075,11234749496.3973,0.487913565662295,53754782.2794129,0.476171568842252,11234749496.3973,0.487913565662295,53754782.2794129,0.476171568842252,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"7","me_ics_all",24951.0455870193,489489612.326144,0.0212580282436462,2342055.56136911,0.0207464382457365,489489612.326144,0.0212580282436462,2342055.56136911,0.0207464382457365,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"8","me_gas_dpg",510967.840114915,274477105.642369,0.0119202571761462,1313287.58680559,0.0116333874686675,274477105.642369,0.0119202571761462,1313287.58680559,0.0116333874686675,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","mdsp_dm",8277693.98412443,789444492.97767,0.0342847588711003,3777246.37788359,0.0334596710728262,789444492.97767,0.0342847588711003,3777246.37788359,0.0334596710728262,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,158373363.44,757767.289186603,1001636.66760178,243869.37841518,3876519.85491505,0.322602630494664,0.121234932675132,5.11571284513503,4.98470497708885,0.200613678160752,1,FALSE,6.46970356401849,0.135079749943903,4.52781279396694,8.40297556611261,0.671692260856647
"10","mdsp_inst",55297262.5790537,522660313.109125,0.0226985975148819,2500767.04836902,0.0221523391638205,522660313.109125,0.0226985975148819,2500767.04836902,0.0221523391638205,TRUE,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,"1_232_6",1,232,6,1623,3,16610245.52,79474.8589473684,83517.6664082667,4042.80746089829,1025873.01890293,0.0338346599549506,0.0802649058108516,12.9081451982483,31.4661401289826,0.0317801928009253,1,FALSE,27.194428425951,1.75478939000339,1.95901342113791,52.3003452634116,0.01599954551205
