"","mdip_aff_alphas","mdip_aff_gammas","mdip_aff_thetas","mdip_em_alphas","mdip_em_gammas","mdip_em_thetas","mdip_sms_alphas","mdip_sms_gammas","mdip_sms_thetas","mdsp_auddig_alphas","mdsp_auddig_gammas","mdsp_auddig_thetas","mdsp_audtr_alphas","mdsp_audtr_gammas","mdsp_audtr_thetas","mdsp_dm_alphas","mdsp_dm_gammas","mdsp_dm_thetas","mdsp_inst_alphas","mdsp_inst_gammas","mdsp_inst_thetas","mdsp_nsp_alphas","mdsp_nsp_gammas","mdsp_nsp_thetas","mdsp_on_alphas","mdsp_on_gammas","mdsp_on_thetas","mdsp_sem_alphas","mdsp_sem_gammas","mdsp_sem_thetas","mdsp_so_alphas","mdsp_so_gammas","mdsp_so_thetas","mdsp_viddig_alphas","mdsp_viddig_gammas","mdsp_viddig_thetas","mdsp_vidtr_alphas","mdsp_vidtr_gammas","mdsp_vidtr_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.17008,0.9190443,0.3179026,1.3557325,0.9994491,0.328567,2.439055,0.9717774,0.3327517,2.4179425,0.9563116,0.1835922,2.7297675,0.7209632,0.3734257,0.52915725,0.417817,0.2913822,2.577375,0.6226349,0.1685946,1.23797,0.35839575,0.3813412,2.7221875,0.7444048,0.0813858,1.517935,0.7699681,0.2426139,0.83925,0.8876206,0.2994462,2.8115675,0.55123,0.243085,2.8139,0.4515535,0.5551855,0.7529165,0.567186317206902,0.602370112662614,-0.346447107295553,0.11312570537752,0.653255115617902,1.55037281614646,0.653255115617902,0.23364417669892,0,172798747.64204,0.0408953,4215507316.34298,1e-04,0,0.165668964385986,281.100662946701,"1_232_6",1,232,6,1623,FALSE,TRUE,3,0.268458517642902,1,FALSE
"2",0.936845,0.8536237,0.344677,2.4592875,0.782615,0.2424415,2.374215,0.8412442,0.1370569,2.980985,0.951063,0.2650227,2.68637,0.7314793,0.3774424,0.63342975,0.31421665,0.2979093,2.5133375,0.360746,0.222174,0.584578,0.4687889,0.2093866,2.4371475,0.6960334,0.2085249,1.0160875,0.7225753,0.1673322,1.6118425,0.8015038,0.1780326,2.837705,0.6125199,0.273613,2.87326,0.388578,0.5253405,0.7536833,0.538612552512965,0.593327756740648,-0.254460102007076,0.116800229655494,0.660641079188729,1.49647657399643,0.660641079188729,0.218242397408994,0,235400779.924323,0.0557472,4215507316.34298,1e-04,0,0.182239055633545,283.491519927979,"1_234_3",1,234,3,1634,FALSE,TRUE,2,0.251319448264873,2,FALSE
"3",2.5844525,0.6870454,0.3316309,2.91851,0.6813138,0.2638933,2.476065,0.7740652,0.1561405,2.46739,0.9017578,0.2461515,2.4506625,0.6923192,0.3972304,0.509490575,0.33579037,0.2946486,2.1277275,0.7747582,0.2316282,0.888675,0.6526817,0.2267911,2.581445,0.5356781,0.2088147,0.92042,0.8984811,0.1774752,1.5232125,0.4472891,0.1623504,2.3179075,0.5711541,0.2938903,2.83249,0.304293716,0.33926435,0.7303283,0.34122615889331,0.399895919053281,-0.386309027294805,0.140827090957255,0.830421819896562,1.61717583397424,0.830421819896562,0.158819196596001,0,420955177.955183,0.0997687,4215507316.34298,1e-04,0,0.178841829299927,288.663696050644,"1_237_5",1,237,5,1657,FALSE,TRUE,3,0.286258211712529,1,FALSE
"4",1.7583525,0.6870454,0.3316309,2.91851,0.6813138,0.2638933,2.476065,0.7740652,0.1561405,2.46739,0.9017578,0.2461515,2.4506625,0.6923192,0.3972304,0.509490575,0.33579037,0.2946486,2.1277275,0.7747582,0.2316282,0.844255,0.5882187,0.2416687,2.526215,0.6195696,0.1894851,0.9667225,0.8520788,0.1712376,1.47145,0.4914206,0.1628517,2.5864125,0.5940042,0.2837776,2.8338725,0.35981808,0.4501225,0.7394567,0.521870454516157,0.573755424902606,-0.36179101394158,0.119138094235952,0.694928114720092,1.54215700231702,0.694928114720092,0.180524260175823,0,273501783.176837,0.0647864,4215507316.34298,1e-04,0,0.167588949203491,322.805200099945,"1_259_1",1,259,1,1807,FALSE,TRUE,3,0.263796727753386,1,FALSE
"5",1.6350375,0.520815,0.3860827,1.1202875,0.6919818,0.1651618,2.5016275,0.6305001,0.3626959,2.3931075,0.8999252,0.294846,2.7675075,0.6610705,0.3875827,0.5303155,0.33251255,0.2991675,2.00453,0.4587733,0.292815,0.6818425,0.7009614,0.2580976,2.408835,0.6830526,0.1178136,1.095485,0.5399635,0.1456989,1.720295,0.8664015,0.01230915,2.9188825,0.6996223,0.195208,2.8307025,0.33006486,0.61401,0.7432214,0.551985313469754,0.596164485987882,-0.220437841225618,0.115355407067992,0.664410256289191,1.46067057542369,0.664410256289191,0.213324837814678,0,186665958.302325,0.0441852,4215507316.34298,1e-04,0,0.190909147262573,324.035248041153,"1_259_7",1,259,7,1813,FALSE,TRUE,3,0.240197618724915,2,FALSE
"6",1.53838,0.530755,0.3236794,0.571818,0.8034624,0.2964334,1.4898225,0.802775,0.1551913,2.4639175,0.9717522,0.2990142,2.7387625,0.9864984,0.3860497,0.50869645,0.36139602,0.2954493,2.40919,0.5372489,0.2471373,0.69214025,0.6705688,0.2429635,2.2874275,0.7191726,0.1640064,1.0437075,0.8748519,0.2442078,1.394245,0.6089975,0.0469125,2.5369425,0.7411519,0.1411486,2.6789525,0.33538969,0.411603,0.7307849,0.498901984477498,0.555899550398182,-0.310588059732235,0.122300642040261,0.709299884933334,1.51210605245335,0.709299884933334,0.164841141003602,0,342737095.928463,0.081212,4215507316.34298,1e-04,0,0.176239013671875,330.195684909821,"1_263_4",1,263,4,1838,FALSE,TRUE,2,0.254175300961449,1,FALSE
"7",1.3082425,0.8150852,0.3195889,1.5306925,0.8751508,0.3027949,2.4332175,0.8389069,0.326548,2.512605,0.9060537,0.1902351,2.5990275,0.4869707,0.3734626,0.534646,0.3006507494,0.2987694,2.201895,0.7439582,0.2275968,0.67626325,0.461259,0.2695693,2.23435,0.8915511,0.1221942,1.07758,0.5957528,0.1248636,1.166585,0.6869929,0.1406607,2.7688475,0.555808,0.2395651,2.8349325,0.4760381,0.515255,0.7519868,0.571677539479145,0.60035057194286,-0.244622982143062,0.112537233208607,0.654911938277402,1.49059755375751,0.654911938277402,0.220582838182206,0,162184740.175654,0.0383772,4215507316.34298,1e-04,0,0.173504114151001,333.086287021637,"1_265_4",1,265,4,1852,FALSE,TRUE,2,0.249646640426575,2,FALSE
"8",1.3082425,0.8150852,0.3195889,1.5306925,0.8751508,0.2357464,2.544795,0.6972325,0.2740603,2.512605,0.9060537,0.1902351,2.5990275,0.4869707,0.3734626,0.534646,0.3006507494,0.2987694,2.201895,0.7439582,0.2275968,0.67626325,0.461259,0.2695693,2.23435,0.8915511,0.1221942,1.07758,0.5957528,0.1248636,1.166585,0.6869929,0.1406607,2.7688475,0.555808,0.2395651,2.8349325,0.4760381,0.515255,0.7519868,0.571782224104359,0.599494070534504,-0.24074751197186,0.112523479974668,0.655613343986257,1.48827505516333,0.655613343986257,0.220833592435163,0,162184740.175654,0.0383772,4215507316.34298,1e-04,0,0.261803865432739,341.799366950989,"1_269_6",1,269,6,1882,FALSE,TRUE,3,0.248953442527765,2,FALSE
"9",1.36959,0.9030031,0.3827653,2.642405,0.6191286,0.1492834,1.694905,0.5534385,0.2713027,2.436755,0.9101228,0.2594757,2.495845,0.6990049,0.3715171,0.52768125,0.36846063,0.2934276,2.272435,0.6626854,0.1910499,0.7784625,0.4245307,0.314149,2.47926,0.7013723,0.1319142,1.0044875,0.7737005,0.1385124,1.82974,0.7708578,0.0617805,2.915985,0.6342108,0.240769,2.946995,0.32912868,0.616849,0.7493825,0.551117567911003,0.589170463839724,-0.305597970894467,0.115514118168482,0.663798869606702,1.525917966263,0.663798869606702,0.201655245578474,0,197717070.162604,0.046807,4215507316.34298,1e-04,0,0.227719068527222,343.748068094254,"1_270_6",1,270,6,1889,FALSE,TRUE,2,0.259562893432963,2,FALSE
"10",1.53838,0.530755,0.3236794,0.571818,0.8034624,0.2964334,1.4898225,0.802775,0.1551913,2.4639175,0.9717522,0.2990142,2.7387625,0.9864984,0.3860497,0.50869645,0.36139602,0.2954493,2.40919,0.5372489,0.2471373,0.69214025,0.6705688,0.2429635,2.2874275,0.7535986,0.1235838,1.0437075,0.8748519,0.2442078,1.394245,0.6089975,0.0469125,2.5369425,0.7411519,0.1411486,2.6789525,0.33538969,0.411603,0.7307849,0.498509938103505,0.556200697579358,-0.310938975160318,0.122348475145961,0.709059353894791,1.51230847526061,0.709059353894791,0.164141381622617,0,342737095.928463,0.081212,4215507316.34298,1e-04,0,0.305324077606201,346.371429920197,"1_272_1",1,272,1,1898,FALSE,TRUE,1,0.25422076456468,1,FALSE
